,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR110,0.0,38.507,41.194,37.603,38.806,45.652,40.0,40.0,39.403,37.91,49.669,39.172,38.806,34.627,25.61,38.507,35.928,40.0,37.015,39.104,38.806,38.209,53.571,40.0,39.701,39.701,39.701,31.757,36.418,34.328,30.147,37.313,31.884,36.119,37.015,33.433,34.03,34.03,32.53,34.03,34.03,35.224,35.224,32.836,32.836,36.119,33.234,32.836,35.224,10.119,24.556,24.556,26.168,28.783,28.19,27.3,27.3,28.487,26.706,24.852,21.021,23.669,24.26,23.964,23.964,11.89,0.0,26.923,28.994,28.783,41.246,26.409,25.519,7.971,26.113,26.113,21.801,29.08,24.096,28.19,21.327,9.42,27.3,15.789,23.0,25.519,33.333,37.838,37.237,51.351,50.751,56.442,57.362,59.202,63.566,56.269,56.575,58.104,54.74,57.229,57.229,82.843,61.446,72.699,82.822,84.337,86.254,88.957,,38.507,41.916,43.519,44.144,43.363,58.991,23.167,27.273,27.124,27.841,27.841,26.136,28.395,29.83,29.83,27.841,27.557,26.446,29.121,28.571,23.944,27.869,27.459,29.973,30.245,23.864,23.864,31.143,30.571,25.568,26.379,27.654,27.198,35.849,28.691,25.501,29.248,37.662,27.855,30.12,28.814,42.568,29.915,41.935,24.297,31.594,31.579,29.526,29.805,32.129,38.346,38.346,29.167,25.175,33.981,30.278,35.294,38.039,23.037,24.49,22.137,18.717,22.901,22.222,25.483,21.628,21.883,0.0,33.333,29.577,31.742,31.742,32.092,31.054,34.718,38.034,44.318,33.238,33.524,30.659,33.238,31.519,35.909
OR82,0.0,44.142,40.0,35.391,39.529,42.391,41.155,41.155,41.099,37.958,44.162,39.612,40.576,38.482,25.722,39.529,36.649,41.27,40.052,39.005,39.267,40.314,47.297,40.576,40.576,40.576,40.576,23.958,28.421,27.105,23.889,29.737,25.794,30.526,32.105,31.579,30.789,29.474,25.17,29.474,29.474,29.474,29.474,26.579,26.579,28.158,25.0,28.684,30.263,8.962,21.41,21.41,25.683,27.487,27.487,27.225,27.225,24.084,25.654,25.849,20.104,24.282,24.021,24.804,25.326,11.842,0.0,24.804,24.543,24.869,45.026,24.607,26.702,4.396,24.084,24.084,17.188,25.393,19.895,24.084,15.234,4.945,25.131,10.714,22.319,26.178,40.476,41.161,41.689,43.536,43.008,42.744,40.897,41.425,48.0,42.706,41.425,42.48,39.578,43.056,43.056,39.844,35.484,41.534,42.593,41.667,40.525,37.302,38.507,,46.174,53.947,47.757,46.997,29.102,26.276,30.827,31.161,30.175,30.175,28.18,32.308,30.827,30.446,29.825,29.574,24.939,24.515,25.243,23.142,30.45,30.104,30.508,29.056,25.667,25.667,31.658,31.658,30.227,25.376,31.45,30.993,46.392,32.432,29.899,33.415,43.434,33.661,34.122,29.177,40.625,29.574,46.715,27.563,26.648,29.34,30.467,32.187,32.323,38.418,38.418,31.373,28.529,37.415,29.412,39.041,29.572,22.396,28.621,27.626,23.753,28.311,27.556,28.947,26.941,23.973,40.0,34.925,39.152,38.462,37.563,37.215,38.539,34.115,34.52,46.212,35.101,36.869,35.859,34.596,34.848,36.33
OR66,0.0,46.175,43.229,39.669,44.357,47.826,45.652,45.652,44.094,42.782,48.731,43.611,43.045,41.732,29.443,44.357,41.316,47.41,43.57,43.045,43.307,41.995,47.297,44.357,45.144,45.144,45.144,26.563,31.662,29.551,24.444,31.662,29.084,34.565,35.62,34.037,34.565,31.135,24.232,32.19,32.19,32.982,32.982,29.024,29.024,32.454,28.836,33.245,32.982,11.321,28.01,28.01,25.479,26.772,28.346,25.197,25.197,23.885,23.36,28.01,22.368,28.01,27.487,26.702,26.702,11.671,0.0,27.225,27.225,26.247,41.732,25.197,24.934,4.396,25.984,25.984,18.039,25.722,19.948,24.672,17.647,6.044,25.197,9.184,23.547,27.559,42.063,42.593,44.18,47.354,45.503,44.444,44.709,45.238,48.0,44.149,41.27,42.063,38.624,37.963,37.963,41.569,36.866,42.175,43.501,41.806,43.275,41.379,41.916,46.174,,82.895,49.735,50.524,33.333,27.577,30.73,30.484,30.326,31.078,28.571,31.538,31.234,30.846,30.479,30.227,30.882,28.224,28.954,25.745,28.472,28.472,32.039,31.553,26.598,26.598,32.323,32.828,30.127,25.702,31.514,31.051,44.33,32.258,28.426,30.521,39.899,31.762,34.915,29.574,36.458,29.648,38.686,27.689,29.598,31.373,33.744,33.251,32.77,37.853,37.853,32.432,28.012,38.095,33.17,37.671,38.735,27.128,29.758,27.982,25.298,28.211,27.455,30.033,26.606,24.083,40.0,36.041,36.02,37.594,37.692,40.921,38.422,32.105,36.691,44.697,32.398,33.929,35.204,34.949,34.439,38.258
OR117,0.0,49.64,47.134,20.0,46.753,44.565,46.104,46.104,45.455,42.857,44.805,44.805,42.857,42.857,48.052,48.052,48.052,48.052,43.506,44.805,44.805,45.455,45.946,46.753,46.753,46.753,46.753,19.079,18.421,14.474,14.474,17.105,15.132,15.132,15.789,16.447,16.447,17.763,17.105,18.421,18.421,17.105,17.105,8.553,8.553,16.447,16.447,15.789,15.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,46.711,50.0,53.289,51.316,45.395,46.053,47.368,47.368,48.0,46.711,46.711,40.132,43.046,43.046,41.447,41.447,43.709,45.695,44.371,44.371,45.033,43.519,53.947,82.895,,47.368,50.331,26.25,34.211,36.842,37.5,34.416,37.013,33.117,33.077,36.842,35.669,36.842,36.184,38.411,32.895,33.553,30.263,34.437,34.437,43.421,43.421,33.775,33.775,38.158,40.132,34.211,30.625,39.474,39.474,43.299,42.105,42.105,41.447,40.132,40.789,39.073,34.211,35.526,39.474,37.226,33.14,35.106,38.816,38.816,36.184,36.184,36.184,36.184,40.789,40.789,38.776,40.132,40.411,20.0,0.0,35.948,38.312,28.947,35.714,35.714,35.065,37.662,32.468,40.0,36.129,38.312,38.065,37.671,45.455,41.558,30.968,40.909,41.667,38.312,37.662,38.961,38.961,39.61,39.61
OR72,0.0,44.293,40.933,40.574,41.253,42.391,44.565,44.565,43.081,40.992,46.193,42.222,41.253,38.381,28.534,41.514,39.426,45.02,40.992,43.081,41.253,42.037,43.243,40.47,40.992,40.992,40.992,27.604,32.283,31.496,26.111,31.496,29.88,33.333,35.884,33.773,33.245,33.071,27.645,31.759,31.759,31.759,31.759,30.184,30.184,32.546,29.396,33.071,32.283,9.906,26.563,26.563,25.753,26.772,26.772,26.509,26.509,24.804,23.499,28.46,21.671,27.937,27.937,26.823,26.302,10.526,0.0,29.243,28.46,27.937,45.692,24.804,24.021,4.945,25.587,25.587,19.608,25.393,19.582,24.282,18.824,6.044,25.065,10.714,23.256,27.154,46.825,42.063,41.005,46.561,46.053,44.444,45.889,45.358,48.276,47.467,46.684,48.541,45.093,41.395,41.395,43.701,37.037,44.415,45.889,45.973,45.748,43.651,44.144,47.757,49.735,47.368,,63.446,32.609,25.32,29.899,31.339,28.25,29.0,27.0,29.231,28.894,28.536,27.889,27.889,29.657,29.44,29.927,24.788,31.597,31.944,28.814,27.845,23.77,23.77,33.668,33.92,28.392,24.464,28.922,28.502,37.113,30.147,26.817,30.392,38.889,30.882,35.714,29.353,42.188,28.643,43.066,28.182,30.571,31.463,31.373,33.333,33.784,38.983,38.983,27.628,27.108,38.776,30.318,39.041,38.132,26.425,27.682,27.563,24.703,26.879,26.608,29.043,25.513,22.551,60.0,34.596,36.341,36.16,36.224,37.405,37.028,33.77,35.842,39.394,33.756,34.264,36.041,35.533,34.518,38.113
OR84,0.0,45.968,44.73,43.145,43.523,40.659,45.357,45.357,45.078,43.523,47.761,44.78,42.487,39.637,30.909,46.373,43.005,49.804,43.782,45.078,44.301,45.337,42.466,44.819,44.819,44.819,44.819,32.143,33.333,35.677,30.435,33.854,32.157,35.156,37.337,37.337,37.076,32.552,27.273,32.552,32.552,33.594,33.594,31.51,31.51,34.115,30.469,34.635,34.896,11.574,27.39,27.39,25.745,27.532,28.312,28.312,28.312,26.166,24.093,26.615,19.38,25.581,25.581,25.323,24.806,10.156,0.0,25.84,26.873,26.943,41.969,25.389,25.907,7.527,25.648,25.648,20.077,25.648,20.725,24.352,18.533,8.065,25.389,11.0,22.126,29.016,45.038,40.576,39.791,50.785,50.131,48.303,47.382,45.288,50.838,46.457,45.812,46.335,43.194,42.534,42.534,43.243,37.557,43.194,43.864,41.447,44.092,43.081,43.363,46.997,50.524,50.331,63.446,,33.333,26.582,29.104,28.451,27.16,27.723,25.743,30.233,28.358,28.01,27.861,26.866,31.127,30.17,29.927,25.532,34.375,34.028,29.976,29.736,25.257,25.257,34.08,32.338,28.678,25.322,30.414,29.976,42.708,30.657,27.612,29.684,41.584,30.9,34.667,26.173,42.857,29.602,42.647,27.727,27.684,30.751,29.44,30.17,30.333,35.359,35.359,30.825,26.786,36.301,31.553,36.552,40.613,29.167,28.819,27.918,23.294,27.46,26.949,28.477,26.087,25.172,66.667,36.908,36.842,37.406,37.15,38.384,37.531,33.247,39.007,42.748,31.99,32.746,34.761,34.257,33.501,36.94
OR119,0.0,28.086,28.395,30.116,26.852,5.556,29.327,29.327,27.778,26.852,31.452,27.152,27.778,25.0,16.887,28.395,28.254,28.177,27.16,29.012,27.16,27.778,0.0,27.469,27.16,27.16,27.16,38.889,32.154,31.833,38.542,36.977,34.706,34.084,33.226,30.968,31.935,31.19,34.112,31.511,31.511,30.868,30.868,30.719,30.719,31.833,31.333,30.225,31.511,13.821,23.279,23.279,24.306,26.316,25.329,25.658,25.658,26.557,26.557,23.529,20.134,22.222,22.876,22.549,21.895,9.556,0.0,26.144,25.817,28.053,32.919,27.393,24.092,11.828,25.083,25.083,23.669,27.723,22.222,26.733,22.485,15.054,26.733,17.757,25.191,26.23,31.538,31.875,30.938,36.646,36.533,42.138,42.902,43.533,42.718,44.795,45.426,44.795,46.382,39.007,39.007,64.835,39.007,56.782,60.377,64.192,56.679,58.176,58.991,29.102,33.333,26.25,32.609,33.333,,25.503,31.068,28.679,31.715,31.715,29.45,20.833,31.715,31.715,30.097,30.421,20.181,25.449,23.054,22.864,24.658,24.658,23.919,23.919,24.029,24.029,24.611,24.611,24.149,24.538,23.333,22.917,20.0,24.545,20.625,25.0,27.559,25.152,27.273,25.915,30.579,27.445,33.846,23.669,28.614,28.012,25.904,24.398,26.364,29.245,29.245,26.126,19.305,26.667,28.228,29.73,35.472,20.896,21.698,19.78,15.607,19.78,19.149,23.009,17.68,21.389,0.0,27.492,27.246,28.657,28.657,27.273,26.727,29.26,31.553,26.316,29.846,29.846,27.692,31.79,29.231,32.813
OR175,0.0,24.211,22.906,19.922,21.34,25.0,21.951,21.951,22.581,21.836,28.155,22.572,23.077,21.092,20.175,23.573,22.335,23.077,22.581,23.573,23.325,22.829,24.39,22.581,23.077,23.077,23.077,16.418,14.713,14.464,15.873,15.711,13.462,16.209,15.0,14.75,15.5,14.963,13.495,16.708,16.708,15.461,15.461,14.141,14.141,15.461,14.103,15.461,16.459,4.63,10.606,10.606,11.346,11.139,11.899,11.392,11.392,11.869,9.091,10.101,10.924,9.596,9.343,10.354,9.596,5.831,0.0,9.848,9.343,10.66,22.5,11.421,11.168,1.613,11.168,11.168,4.633,11.421,11.924,11.675,5.405,3.763,11.675,6.0,10.482,9.596,16.535,27.39,24.031,28.316,25.954,26.804,26.873,26.357,34.831,23.822,25.26,25.0,23.438,28.436,28.91,26.667,28.111,24.479,27.792,27.027,25.872,25.714,23.167,26.276,27.577,34.211,25.32,26.582,25.503,,50.394,50.148,45.953,48.825,45.431,60.0,50.656,50.0,47.769,48.819,23.951,25.428,26.829,23.517,26.829,26.829,26.316,25.12,22.268,22.268,26.276,26.786,25.954,19.099,24.051,23.691,34.694,26.904,23.438,25.445,33.5,25.57,23.891,23.058,40.415,27.595,41.727,22.633,24.069,26.225,25.854,24.939,24.662,31.667,31.667,23.844,23.78,39.865,27.628,40.816,19.216,13.089,26.761,23.112,17.619,21.51,20.935,25.503,20.0,22.273,27.778,27.25,26.119,25.495,25.065,27.806,26.329,23.467,28.253,40.31,27.062,24.742,26.289,26.804,25.773,29.412
OR173,0.0,26.357,25.679,25.856,26.119,30.435,25.524,25.524,25.373,27.114,29.293,27.632,25.373,23.632,17.738,26.119,24.682,25.869,25.124,27.363,26.617,25.373,32.432,26.368,25.373,25.373,25.373,15.026,17.5,16.04,16.022,18.25,19.305,20.25,18.045,17.794,17.544,18.0,15.182,17.25,17.25,18.25,18.25,16.709,16.709,18.0,16.71,17.75,19.75,7.692,14.177,14.177,17.46,17.005,17.259,17.259,17.259,16.203,15.19,17.468,13.706,15.696,15.696,16.456,15.443,6.633,0.0,16.203,15.443,13.995,29.073,14.249,14.504,3.933,13.995,13.995,10.465,14.249,11.48,13.74,9.69,4.494,13.74,6.25,13.636,15.443,30.597,28.788,28.283,30.653,31.078,28.463,29.04,28.535,38.286,27.411,26.768,26.263,24.495,34.884,34.884,31.418,32.407,27.848,30.051,30.293,29.859,30.051,27.273,30.827,30.73,36.842,29.899,29.104,31.068,50.394,,95.252,64.136,67.277,62.565,60.0,68.158,67.273,69.474,70.263,28.747,28.78,28.049,25.0,30.952,30.612,31.026,30.549,24.23,24.23,30.75,32.0,31.592,23.758,28.01,27.603,45.361,31.695,26.952,29.383,37.186,29.73,34.237,26.29,37.824,30.051,43.066,27.586,28.977,31.707,31.951,31.463,32.66,35.393,35.393,30.244,28.313,41.497,31.951,42.466,23.596,19.307,32.746,26.773,22.619,27.46,26.726,31.667,23.799,23.963,20.0,31.034,28.362,29.024,28.678,31.188,31.695,26.357,31.317,40.31,28.5,30.25,28.25,28.75,27.5,31.835
OR174,0.0,26.471,25.978,24.537,25.915,30.435,26.224,26.224,25.634,26.197,30.808,27.324,25.352,23.38,18.261,26.197,25.36,26.255,25.634,26.761,26.479,24.507,32.432,25.915,25.07,25.07,25.07,16.062,15.581,15.297,17.127,16.997,18.919,18.697,16.714,16.997,16.147,17.28,15.842,18.13,18.13,18.13,18.13,15.23,15.23,16.997,16.812,18.697,19.83,7.212,12.069,12.069,14.655,14.08,13.506,14.943,14.943,13.793,11.782,14.08,10.375,12.644,12.644,14.943,14.08,4.928,0.0,14.08,13.793,12.644,29.178,12.356,12.644,4.494,11.207,11.207,11.24,12.644,9.798,12.069,10.078,5.056,12.644,6.771,13.506,12.356,29.104,29.261,28.125,30.398,30.682,28.857,30.0,29.143,38.857,28.161,28.286,27.429,25.429,34.419,34.419,31.801,32.407,28.653,29.513,30.293,29.226,30.086,27.124,31.161,30.484,37.5,31.339,28.451,28.679,50.148,95.252,,62.242,65.782,60.472,60.0,66.469,65.497,68.546,68.843,29.155,29.235,28.415,24.942,30.612,29.932,31.183,30.914,25.0,25.0,31.461,32.303,31.549,24.519,28.611,28.142,45.361,29.444,26.346,28.771,37.186,29.167,32.881,27.778,37.306,29.945,42.336,28.866,29.508,32.782,31.956,32.507,32.323,35.393,35.393,31.68,28.313,41.497,32.231,42.466,20.909,16.026,32.394,26.41,21.984,26.923,26.368,31.667,23.846,24.359,20.0,31.389,26.722,27.473,27.042,31.564,33.889,27.731,32.384,41.085,28.09,29.494,28.09,28.09,27.528,32.21
OR172,0.0,27.649,25.495,25.095,28.0,31.111,29.577,29.225,26.0,27.0,32.143,27.778,28.0,26.0,18.863,27.5,26.087,28.405,27.75,29.75,27.5,28.25,31.944,26.5,26.25,26.25,26.0,16.58,20.5,20.05,15.47,23.5,20.849,23.75,21.303,20.05,20.802,17.75,16.832,19.75,19.75,19.25,19.25,16.456,16.456,18.5,17.738,19.0,20.0,6.731,14.177,14.177,17.196,17.513,17.513,16.497,16.497,17.215,13.671,16.456,12.69,15.19,15.696,16.456,16.203,6.888,0.0,15.949,14.43,17.557,28.678,17.303,16.539,2.247,16.539,16.539,11.628,16.539,14.286,16.794,11.628,3.371,16.285,5.729,14.773,15.949,26.119,28.894,28.141,26.25,26.933,23.308,24.121,24.121,28.814,24.937,24.372,23.869,22.362,27.064,27.064,32.7,29.817,27.387,28.07,30.0,28.492,28.07,27.841,30.175,30.326,34.416,28.25,27.16,31.715,45.953,64.136,62.242,,96.579,90.526,66.129,80.89,80.729,79.319,82.723,26.829,26.942,26.942,24.059,25.253,24.916,28.436,28.673,22.857,22.857,26.119,26.119,27.901,21.72,26.161,25.783,37.374,29.095,24.561,27.764,30.846,27.139,30.201,23.716,33.846,29.648,35.971,24.943,28.977,29.612,30.583,28.641,29.431,28.889,28.889,24.515,27.246,35.57,28.883,37.162,29.213,18.812,28.671,24.829,20.853,24.601,23.947,27.815,22.096,22.759,11.111,29.412,28.467,26.699,26.733,30.049,27.384,24.422,26.148,37.405,28.109,29.851,28.856,28.856,28.607,31.599
OR168,0.0,27.649,25.926,25.095,28.0,31.111,29.577,29.225,26.0,27.0,32.143,27.778,28.0,26.0,18.863,27.5,26.087,28.405,27.75,29.75,27.5,28.25,31.944,26.5,26.25,26.25,26.0,16.58,20.5,20.05,15.47,23.5,20.849,23.75,21.303,20.05,20.802,17.75,16.832,19.75,19.75,19.25,19.25,16.456,16.456,18.5,17.738,19.0,20.0,6.731,14.177,14.177,17.196,17.513,17.513,16.497,16.497,17.215,13.671,16.456,12.69,15.19,15.696,16.456,16.203,6.888,0.0,15.949,14.43,17.557,29.177,17.303,16.539,2.247,16.539,16.539,11.628,16.539,14.286,16.794,11.628,3.371,16.285,5.729,14.773,15.949,26.119,28.894,28.141,27.75,28.18,24.812,25.628,25.628,32.203,25.505,25.126,24.874,23.367,28.111,28.111,32.319,29.358,27.96,28.643,30.744,29.132,28.643,27.841,30.175,31.078,37.013,29.0,27.723,31.715,48.825,67.277,65.782,96.579,,93.947,75.2,84.031,83.636,82.723,86.126,27.873,28.398,28.641,25.314,27.365,27.027,29.691,29.929,23.722,23.722,26.368,26.617,28.96,22.366,26.895,26.506,40.404,29.829,25.313,28.256,31.841,27.628,29.966,24.205,35.385,30.402,38.849,25.172,28.977,30.34,31.068,29.126,30.1,30.0,30.0,24.757,27.545,37.584,29.612,39.189,29.213,18.812,30.42,25.968,22.038,25.968,25.277,29.801,23.462,23.218,30.0,29.902,28.954,27.67,27.792,29.803,27.384,25.45,26.855,37.405,28.358,30.1,29.104,29.104,28.856,31.97
OR171,0.0,25.581,23.704,24.715,26.0,31.111,26.056,25.704,23.75,24.75,27.551,25.397,25.75,23.75,16.279,25.0,23.529,24.514,25.5,27.5,25.25,26.0,31.944,24.5,24.25,24.25,24.0,12.435,18.0,18.045,11.05,21.25,17.761,21.5,19.549,18.296,19.048,16.0,14.191,17.25,17.25,17.5,17.5,14.684,14.684,16.75,15.938,16.75,17.75,7.527,15.013,15.013,18.258,18.548,18.548,17.473,17.473,18.231,14.477,17.426,13.441,16.086,16.622,17.426,17.158,7.297,0.0,16.89,15.282,18.598,26.683,18.329,17.52,2.564,17.52,17.52,12.712,17.52,15.135,17.79,12.712,3.846,17.251,6.471,15.758,16.89,22.388,27.387,26.382,25.75,25.935,23.058,24.121,24.121,28.814,23.99,23.618,23.367,21.859,25.346,25.346,29.658,26.147,26.448,26.884,28.479,27.451,27.638,26.136,28.18,28.571,33.117,27.0,25.743,29.45,45.431,62.565,60.472,90.526,93.947,,74.194,78.534,78.182,77.487,80.628,25.183,26.214,26.456,22.803,25.338,25.338,27.316,27.553,22.29,22.29,23.134,23.881,25.99,20.215,24.45,24.096,40.404,27.628,23.058,25.799,26.866,25.183,27.273,21.76,31.795,28.643,34.532,23.341,27.557,29.126,29.369,27.67,28.094,26.667,26.667,22.816,24.85,32.886,27.913,33.784,28.839,18.812,26.923,23.69,23.25,23.918,23.282,27.152,21.185,20.92,30.0,27.451,26.277,25.485,25.558,27.34,24.694,23.393,24.382,32.824,26.119,27.612,26.866,26.866,26.617,28.625
OR176,0.0,31.25,28.462,0.0,24.615,26.316,26.154,25.385,25.385,23.846,24.615,24.615,23.077,23.077,26.923,26.923,26.923,26.923,26.154,25.385,25.385,24.615,25.974,26.154,26.154,26.154,25.385,3.077,3.846,4.615,4.615,4.615,6.923,5.385,4.615,3.846,3.846,1.538,3.077,3.846,3.846,3.077,3.077,0.826,0.826,3.077,3.077,4.615,3.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.846,32.308,36.154,35.385,29.231,29.231,29.231,29.231,26.563,26.154,26.154,22.308,33.333,33.333,30.0,30.0,33.333,32.558,29.457,31.008,31.783,28.395,32.308,31.538,33.077,29.231,30.233,20.833,60.0,60.0,60.0,66.129,75.2,74.194,,82.4,86.4,72.8,74.4,34.375,37.984,39.535,33.077,34.109,34.109,36.154,34.615,34.884,34.884,26.923,26.923,33.333,28.986,34.615,34.615,42.157,31.538,31.538,29.688,29.231,29.231,34.109,26.923,31.538,32.308,33.846,28.667,22.388,32.308,33.846,30.769,31.538,31.538,31.538,32.308,37.692,36.154,36.154,36.154,0.0,0.0,34.127,34.109,34.167,34.884,34.884,37.209,34.109,28.682,20.0,31.579,32.576,35.338,35.484,31.061,30.303,30.0,31.008,31.008,32.558,32.558,33.333,34.884,34.884,34.884
OR169,0.0,26.098,26.914,27.376,27.114,26.087,27.273,27.273,25.871,27.612,28.283,27.105,28.358,26.368,17.995,27.114,25.7,27.027,28.109,29.353,27.363,28.109,27.027,27.861,27.612,27.612,27.612,17.098,21.75,20.301,16.575,23.5,22.78,24.25,21.805,21.805,21.805,20.0,16.172,21.0,21.0,22.25,22.25,19.747,19.747,21.5,20.823,20.25,21.5,7.212,14.177,14.177,17.725,18.274,18.528,17.766,17.766,17.722,13.924,16.709,13.452,15.696,15.696,16.203,15.949,6.633,0.0,15.696,15.19,18.066,31.078,17.557,16.794,3.371,17.048,17.048,11.24,17.303,14.286,17.048,10.853,3.371,16.285,6.25,15.057,17.975,26.119,29.798,28.788,30.402,30.576,25.945,26.768,27.525,36.0,25.888,25.505,25.505,24.242,29.302,29.302,32.567,29.167,29.62,29.545,31.596,31.268,30.051,29.83,30.827,31.234,36.842,28.894,28.358,31.715,50.656,68.158,66.469,80.89,84.031,78.534,82.4,,98.701,83.421,86.579,26.29,28.78,29.268,26.05,28.571,28.231,31.026,31.265,23.819,23.819,27.0,27.0,30.846,22.246,30.467,30.024,44.33,32.432,27.708,30.123,35.678,30.221,32.203,25.553,35.751,30.556,42.336,27.816,30.114,31.707,31.951,30.244,30.64,32.584,32.584,26.341,28.916,41.497,30.732,42.466,28.09,19.307,31.69,25.858,21.667,25.858,25.167,32.333,23.57,23.272,20.0,29.557,28.851,26.829,26.683,30.941,28.501,26.357,27.402,37.984,28.75,30.5,27.75,30.5,28.5,31.835
OR170,0.0,26.615,27.407,27.376,27.16,26.316,27.336,26.99,25.926,27.654,28.358,27.154,28.395,26.42,18.112,27.16,25.758,27.099,28.148,29.383,27.407,28.148,25.974,27.901,27.654,27.654,27.407,16.667,21.481,20.05,16.129,23.21,22.348,23.951,21.535,21.535,21.535,19.753,15.909,20.741,20.741,21.975,21.975,19.5,19.5,21.235,20.558,20.0,21.235,7.042,14.0,14.0,17.493,18.045,18.296,17.544,17.544,17.5,13.75,16.5,13.283,15.5,15.5,16.0,15.75,6.549,0.0,15.5,15.0,17.839,30.693,17.337,16.583,3.279,16.834,16.834,11.027,17.085,14.106,16.834,10.646,3.279,16.08,6.091,14.846,17.75,26.119,29.426,28.429,30.025,30.198,25.622,26.434,27.182,35.0,25.564,25.187,25.187,23.94,28.636,28.636,31.955,28.507,29.25,29.177,31.09,30.833,29.676,29.83,30.446,30.846,35.669,28.536,28.01,31.715,50.0,67.273,65.497,80.729,83.636,78.182,86.4,98.701,,82.338,85.455,25.971,28.434,28.916,25.78,28.094,27.759,30.66,30.896,23.577,23.577,26.667,26.667,30.467,22.009,30.097,29.665,42.157,32.039,27.363,29.756,34.804,29.854,31.667,25.243,34.848,30.175,40.845,27.5,30.114,31.325,31.566,29.88,30.132,31.694,31.694,26.024,28.487,40.132,30.361,41.06,28.09,19.307,31.142,25.566,21.412,25.566,24.89,31.803,23.303,23.007,20.0,29.197,28.502,26.506,26.355,30.562,28.155,26.02,26.923,36.567,28.395,30.123,27.407,30.123,28.148,31.25
OR166,0.0,26.098,26.42,26.236,26.866,26.087,27.622,27.622,26.368,26.866,30.303,28.158,27.363,25.373,16.967,26.368,24.682,26.255,28.109,29.104,27.114,27.612,28.378,28.109,26.866,26.866,26.866,14.508,19.0,18.797,14.365,20.5,19.691,22.0,19.549,19.298,20.05,19.25,16.832,20.75,20.75,20.5,20.5,17.975,17.975,19.5,18.509,20.0,21.0,8.173,14.177,14.177,16.402,16.751,17.005,16.244,16.244,16.203,13.671,15.443,12.437,14.684,14.684,14.937,14.937,6.888,0.0,15.443,15.443,16.539,28.07,16.285,16.285,4.494,16.031,16.031,11.628,16.285,12.755,15.267,10.465,3.371,15.522,7.292,16.477,16.203,26.866,29.798,28.788,28.894,28.321,26.448,27.273,27.02,33.714,26.904,26.263,26.01,24.747,28.372,28.372,32.95,28.704,27.342,29.545,31.27,30.141,29.293,27.841,29.825,30.479,36.842,27.889,27.861,30.097,47.769,69.474,68.546,79.319,82.723,77.487,72.8,83.421,82.338,,93.421,27.273,28.537,29.268,25.0,27.551,27.211,29.356,29.833,25.667,25.667,26.75,27.0,30.1,22.678,27.518,27.119,41.237,29.238,25.441,27.407,33.166,26.781,33.22,24.816,35.233,29.293,43.066,26.667,27.273,29.512,30.244,28.537,28.62,29.775,29.775,26.829,27.41,42.177,30.244,43.836,26.217,18.812,32.042,26.316,22.381,25.858,25.167,31.667,24.714,24.885,30.0,30.296,27.873,26.829,26.683,29.95,29.73,27.132,29.893,39.535,28.25,29.5,27.5,28.5,27.5,31.461
